Loss,Accuracy,Val_Loss,Val_Accuracy
0.601432692,0.791289593,0.488340573,0.82358871
0.44750618,0.828103058,0.440325252,0.822076613
0.412265744,0.833759167,0.420472429,0.836693548
0.399933494,0.838869168,0.411970508,0.83921371
0.394322129,0.839873615,0.408028273,0.836693548
0.390714661,0.841355906,0.403962797,0.83921371
0.387123861,0.842784561,0.399099289,0.839717742
0.383588857,0.844349743,0.394206646,0.843245968
0.379912327,0.847675144,0.390207824,0.845262097
0.377073787,0.849498752,0.387160741,0.841229839
0.375438138,0.849176939,0.384843816,0.841229839
0.374431929,0.849011156,0.383574277,0.841733871
0.373863254,0.849518256,0.383831087,0.841229839
0.373226974,0.849976595,0.382817355,0.841733871
0.372766287,0.849313465,0.38128098,0.842741935
0.372308102,0.849415861,0.381770582,0.842237903
0.371947649,0.849903456,0.381178812,0.841733871
0.371634814,0.849342721,0.381058136,0.84375
0.37120047,0.849830317,0.380698062,0.843245968
0.370774594,0.849415861,0.380587005,0.841733871
