,loss,hinge_accuracy
0,0.9877984728197371,0.525390625
1,0.985489053010983,0.525390625
2,0.9831767673027316,0.525390625
3,0.9814455695287818,0.525390625
4,0.9798060408791388,0.525390625
5,0.9779369332187592,0.525390625
6,0.9766767638445252,0.525390625
7,0.975324219882069,0.525390625
8,0.9739529243424399,0.525390625
9,0.972845209064748,0.525390625
10,0.9718541651058374,0.525390625
11,0.970710987779878,0.525390625
12,0.9696191457994819,0.525390625
13,0.9687304427608655,0.525390625
14,0.9679943843976937,0.525390625
15,0.9670631359562186,0.525390625
16,0.9661362573861756,0.525390625
17,0.9655224559073549,0.525390625
18,0.9645343149914394,0.525390625
19,0.9637386676039037,0.525390625
