Loss,Accuracy,Val_Loss,Val_Accuracy
0.86786193,0.618758777,0.624842889,0.754032258
0.596536487,0.746040724,0.536835146,0.788810484
0.56516379,0.769518451,0.528684751,0.815020161
0.53816174,0.835729053,0.509511484,0.841733871
0.49659472,0.837450265,0.480617619,0.827116935
0.469571154,0.808384693,0.465190059,0.811995968
0.459828599,0.802767592,0.458182871,0.805443548
0.456419525,0.797940396,0.454747505,0.802923387
0.454968327,0.79686281,0.452649555,0.802419355
0.454107637,0.795224489,0.45157302,0.802923387
0.453579461,0.795170854,0.450394906,0.802923387
0.453178888,0.795131846,0.449603822,0.802419355
0.452898865,0.794332189,0.449162654,0.803427419
0.452704362,0.794936808,0.448563122,0.802419355
0.452525253,0.794863668,0.448117577,0.801915323
0.452380262,0.795068458,0.4476458,0.800907258
0.452270097,0.794571111,0.44752582,0.801915323
0.452173594,0.794771025,0.447089352,0.800907258
0.452102651,0.794478468,0.446922027,0.801915323
0.452027313,0.79510259,0.446775372,0.801915323
